"myBean1","nitrogenF","mushroomF"
87.5,"0","0"
111.2,"0","0"
85.4,"0","0"
110.9,"0","0"
77.8,"0","0"
80.4,"0","0"
127.1,"0","0"
97.3,"0","0"
95.5,"0","0"
113.3,"0","0"
77.1,"0","0"
105.4,"0","0"
96.1,"0","0"
130.2,"0","0"
130.2,"0","0"
88.1,"0","0"
117.8,"0","0"
110.4,"0","0"
85.7,"0","0"
90.8,"0","0"
104,"0","0"
90.3,"0","0"
72.4,"0","0"
106.6,"0","0"
111.2,"0","0"
121.9,"0","0"
113.1,"1","0"
83.4,"1","0"
184.6,"1","0"
153.5,"1","0"
122.3,"1","0"
126.8,"1","0"
112.8,"1","0"
126.4,"1","0"
141.7,"1","0"
149,"1","0"
95.5,"1","0"
145,"1","0"
114.7,"1","0"
119.5,"1","0"
134.6,"1","0"
146.9,"1","0"
103,"1","0"
108,"1","0"
148.7,"1","0"
118.1,"1","0"
119.8,"1","0"
133.9,"1","0"
140.9,"1","0"
110.7,"1","0"
151.6,"0","1"
135.1,"0","1"
144.3,"0","1"
142.9,"0","1"
159.7,"0","1"
190.9,"0","1"
144.3,"0","1"
139.6,"0","1"
130.9,"0","1"
136.6,"0","1"
168.1,"0","1"
179.2,"0","1"
146.2,"0","1"
135.3,"0","1"
142.4,"0","1"
188.8,"0","1"
169.8,"0","1"
177.2,"0","1"
151.6,"0","1"
136.5,"0","1"
155.4,"0","1"
149,"0","1"
308.6,"1","1"
306.2,"1","1"
313.1,"1","1"
304.5,"1","1"
330.9,"1","1"
325.7,"1","1"
324,"1","1"
306.5,"1","1"
348.2,"1","1"
303.2,"1","1"
324.8,"1","1"
378.7,"1","1"
332,"1","1"
331.9,"1","1"
302.2,"1","1"
360.6,"1","1"
324.1,"1","1"
317.4,"1","1"
321.3,"1","1"
337.8,"1","1"
310.3,"1","1"
319.3,"1","1"
327.2,"1","1"
322.9,"1","1"
282.5,"1","1"
