"myBean1","nitrogenF","mushroomF"
88.2,"0","0"
99.9,"0","0"
99.1,"0","0"
111.1,"0","0"
107.7,"0","0"
112.6,"0","0"
99.1,"0","0"
76.1,"0","0"
113.4,"0","0"
117.1,"0","0"
87.9,"0","0"
101.7,"0","0"
111.2,"0","0"
101.9,"0","0"
75.5,"0","0"
107,"0","0"
77.7,"0","0"
116.4,"0","0"
94.1,"0","0"
59.5,"0","0"
103,"0","0"
102.3,"0","0"
95.6,"0","0"
73.8,"0","0"
119.5,"0","0"
121.7,"0","0"
143.2,"1","0"
101,"1","0"
101.4,"1","0"
89,"1","0"
102.7,"1","0"
113.8,"1","0"
68.5,"1","0"
156.4,"1","0"
72.7,"1","0"
106,"1","0"
82.5,"1","0"
73.2,"1","0"
91.7,"1","0"
75.9,"1","0"
106.7,"1","0"
94.4,"1","0"
125.1,"1","0"
51.7,"1","0"
100.7,"1","0"
121.9,"1","0"
63.1,"1","0"
110.8,"1","0"
106.2,"1","0"
98.8,"1","0"
322.4,"0","1"
348.6,"0","1"
348.8,"0","1"
245.9,"0","1"
310.8,"0","1"
291,"0","1"
300.3,"0","1"
291.3,"0","1"
332.3,"0","1"
310,"0","1"
292.4,"0","1"
287.7,"0","1"
361.1,"0","1"
319.4,"0","1"
340.6,"0","1"
320.3,"0","1"
319.6,"0","1"
355.2,"0","1"
349.1,"0","1"
301,"0","1"
375.3,"0","1"
297.3,"0","1"
330.1,"1","1"
315.8,"1","1"
334.9,"1","1"
310,"1","1"
350.1,"1","1"
336.7,"1","1"
299.8,"1","1"
316.7,"1","1"
365.3,"1","1"
351,"1","1"
327.8,"1","1"
334.6,"1","1"
334.3,"1","1"
283.5,"1","1"
337.8,"1","1"
322.5,"1","1"
301,"1","1"
308.4,"1","1"
319,"1","1"
329.5,"1","1"
311.1,"1","1"
346.4,"1","1"
320.9,"1","1"
313.6,"1","1"
278,"1","1"
